Name	Institution	Researcher ID	Keywords
﻿   Castro Henrique	                                    Universidade Federal do Ceará (UFC) / Federal University of Ceará (Brazil)                                                                     	T-3900-2017	                                                                     
  da Silva Antonio 	                                    Universidade Federal do Rio de Janeiro                                                                     	C-4476-2013	                                                                     
  Ferreira Amauri  	                                    PUC - MG                                                                     	Q-2428-2018	                                                                            educação,                                                                            ética,                                                                            imaginário,                                                                            diversidade,                                                                            inclusão                                                                     
  Gomes Jose	                                    Universidade Estadual de Ponta Grossa, PR- BRAZIL. www.uepg.br                                                                     	E-7250-2010	                                                                            mmps, timps, cell proliferation, small intestine, cancer, tooth                                                                     
  Tavares Pinheiro Ricardo	                                    Universidade Católica de Pelotas - UCPEL                                                                     	G-2658-2012	                                                                     
 Abib Meier Lais	                                    UNIFESP ( Federal University of São Paulo)                                                                     	I-4028-2018	                                                                     
 Abrita Mateus Boldrine	                                    Universidade Estadual de Mato Grosso do Sul (UEMS)                                                                     	G-6315-2015	                                                                     
 ADAM JOYCE MARY	                                    UNESP STATE PAULISTA UNIVERSITY                                                                     	K-3696-2012	                                                                            school violence,                                                                            school administration,                                                                            educational polices and management                                                                     
 Aguiar Andrea	                                    USP                                                                     	E-3846-2014	                                                                     
 Aguiar Gean 	                                    Universidade Federal de Santa Catarina (UFSC)                                                                     	F-9566-2014	                                                                     
 Aguiar Ricardo	                                    Centro Federal de Educação Tecnológica Celso Suckow da Fonseca – CEFET/RJ                                                                     	L-5228-2016	                                                                     
 AGUIAR WILLIAN 	                                    Universidade Estadual de Feira de Santana, UEFS                                                                     	F-6854-2012	                                                                     
 Alcantara Marcelo Augusto	                                    Universidade Estadual Paulis "Júlio de Mesquita Filho" - UNESP                                                                     	O-1437-2018	                                                                     
 ALENCAR LUCIANO	                                    Instituto Agronômico (IAC)                                                                     	M-5334-2018	                                                                     
 almeida alexandre	                                    UNICAMP  (State University of Campinas)                                                                     	C-4558-2015	                                                                     
 Almeida Cristiane 	                                    Faculdade de Saúde Púboca USP                                                                     	C-9613-2017	                                                                     
 almeida Gabriel	                                    USP  - Universidade de São Paulo                                                                     	R-8436-2017	                                                                     
 Almeida Grazielle	                                    Universidade Estadual de Ciências da Saúde de Alagoas - UNCISAL                                                                     	G-8713-2016	                                                                            audiology,                                                                            speech therapy,                                                                            speech & audio processing,                                                                            speech & auditory processing                                                                     
 Almeida Jose 	                                    State University of Campinas (UNICAMP)                                                                     	F-3933-2014	                                                                     
 Almeida Matheus das Neves	                                    Universidade Federal do Piauí , UFPI - Campus Ministro Petrônio Portella                                                                     	P-8736-2018	                                                                     
 Almeida Rafael	                                    Centro de Estudos de Cultura Contemporânea - CEDEC                                                                        ; Universidade Estadual Paulista  "Julio de Mesquita Filho"                                                                     	D-6498-2016	                                                                            international relations, brazilian foreign policy, regionalism, multilateralism                                                                     
 Almeida Silvio 	                                    Federal University of Rio de  Janeiro                                                                     	D-6025-2017	                                                                     
 Almeida Neto Mateus 	                                    Universidade Federal de Segipe - UFS                                                                     	M-9346-2016	                                                                     
 almir oliveira da silva georgtown	                                    UNIVASF                                                                     	F-7790-2015	                                                                     
 Alonso Vanessa	                                    Universidade Estadual de Campinas UNICAMP                                                                     	B-5876-2014	                                                                     
 Alves Ana Laura	                                    HOSPITAL DE CANCER DE BARRETOS - FUNDAÇAO PIO XII                                                                     	N-3667-2016	                                                                     
 Alves Cláudia	                                    Federal University of Maranhao, UFMA                                                                     	H-2194-2016	                                                                     
 Alves Denise	                                    FEDERAL UNIVERSITY OF TOCANTINS                                                                     	H-9462-2014	                                                                     
 Alves Fernando	                                    UTFPR - Federal University of Technology - Paraná                                                                     	E-4305-2018	                                                                     
 Alves Gabriela	                                    Embrapa Agrobiologia/UFRRJ                                                                     	B-9724-2015	                                                                     
 Alves Ismael Gonçalves	                                    UNESC - Universidade do Extremo Sul Catarinense                                                                     	L-4983-2018	                                                                     
 Alves Jefferson	                                    Universidade Metodista de São Paulo - UMESP                                                                     	I-3931-2013	                                                                     
 Alves Levy Anderson	                                    University of Sao Paulo (USP)                                                                     	O-6227-2015	                                                                            metabolomics, metabonomics,  gas chromatography, mass spectrometry, gc/tofms,                                                                            proteomics mass spectrometry translational medicine,                                                                            maldi tof ms,                                                                            special care dentistry,                                                                            kidney failure, chronic,                                                                            teledentistry,                                                                            tele-healthcare                                                                     
